Francisco Ventura estudiante MCC 
modelo de Gilbert
Nota:El nodo es la primera columna y despues de las comas son las aristas
0,
1,
2,
3,
4,
5,
6,
7,9 
8,11 
9,1 
10,24 
11,
12,
13,
14,
15,
16,
17,
18,24 
19,
20,
21,
22,
23,
24,
25,
26,29 
27,
28,4 26 
29,

Francisco Ventura estudiante MCC 
modelo de Gilbert
0,5 
1,
2,18 
3,69 78 
4,
5,
6,8 
7,
8,
9,
10,
11,
12,
13,67 
14,
15,
16,
17,
18,50 
19,
20,68 82 
21,
22,50 
23,
24,
25,
26,
27,
28,3 22 
29,
30,37 
31,61 
32,65 
33,
34,33 
35,9 
36,
37,
38,
39,
40,
41,88 
42,
43,77 
44,
45,
46,
47,2 
48,
49,
50,
51,64 
52,91 34 
53,
54,
55,
56,85 
57,
58,
59,
60,1 
61,
62,
63,76 
64,72 
65,
66,
67,60 
68,
69,29 
70,
71,
72,
73,
74,51 98 
75,
76,
77,
78,
79,88 
80,14 
81,
82,
83,
84,
85,7 
86,
87,
88,91 
89,
90,
91,
92,
93,38 74 
94,
95,
96,
97,
98,
99,

Francisco Ventura estudiante MCC 
modelo de Gilbert
0,
1,
2,
3,395 
4,
5,
6,444 
7,
8,
9,
10,484 
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,392 
25,
26,
27,196 
28,
29,
30,192 162 
31,
32,
33,
34,
35,
36,
37,106 
38,
39,292 
40,
41,
42,334 
43,
44,139 
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,352 
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,362 
71,20 
72,
73,481 
74,
75,
76,
77,
78,
79,156 
80,
81,
82,
83,
84,30 
85,
86,
87,
88,403 
89,
90,
91,
92,
93,377 
94,114 
95,
96,
97,
98,
99,
100,
101,337 
102,
103,462 
104,75 
105,463 
106,
107,367 
108,
109,
110,
111,
112,
113,365 
114,
115,
116,
117,
118,
119,
120,221 
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,102 
131,
132,
133,
134,336 
135,
136,
137,
138,
139,
140,330 315 
141,
142,
143,
144,
145,327 
146,
147,481 
148,
149,364 
150,489 395 
151,299 
152,
153,
154,252 
155,6 
156,
157,
158,
159,100 
160,
161,
162,
163,
164,107 
165,
166,187 
167,33 
168,
169,
170,
171,
172,
173,
174,160 
175,
176,141 
177,449 
178,
179,
180,53 
181,392 
182,
183,
184,265 
185,
186,
187,196 
188,
189,
190,130 
191,69 
192,
193,
194,
195,33 
196,
197,
198,
199,
200,375 
201,414 
202,
203,
204,335 
205,
206,226 
207,
208,445 
209,
210,
211,
212,
213,472 
214,
215,
216,
217,450 477 257 
218,337 
219,
220,
221,
222,149 
223,
224,
225,
226,
227,
228,
229,200 
230,
231,
232,
233,
234,
235,
236,
237,293 291 
238,
239,
240,
241,306 
242,
243,
244,217 
245,
246,
247,49 442 
248,
249,
250,
251,
252,
253,
254,
255,
256,85 
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,91 283 
268,309 
269,
270,
271,
272,
273,437 
274,
275,
276,
277,
278,
279,
280,21 
281,450 
282,
283,
284,
285,
286,
287,
288,299 
289,
290,
291,330 
292,
293,106 
294,
295,
296,
297,
298,
299,
300,
301,243 
302,76 
303,
304,
305,
306,83 
307,
308,
309,
310,
311,297 
312,
313,
314,
315,
316,
317,
318,78 
319,217 
320,
321,
322,
323,
324,
325,
326,
327,198 
328,
329,
330,
331,
332,
333,220 
334,
335,83 
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,136 
357,
358,
359,
360,
361,
362,
363,
364,315 
365,
366,258 
367,
368,
369,
370,283 
371,
372,
373,240 
374,
375,26 
376,80 
377,250 
378,
379,121 
380,
381,
382,81 
383,484 
384,388 27 
385,
386,399 
387,311 
388,
389,
390,
391,449 
392,484 
393,
394,238 
395,
396,
397,
398,
399,453 
400,
401,
402,
403,
404,303 
405,
406,26 
407,
408,
409,
410,
411,
412,
413,
414,
415,
416,
417,
418,
419,
420,
421,174 
422,148 
423,330 
424,174 
425,205 
426,215 
427,437 
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,160 
440,
441,
442,
443,136 
444,
445,
446,
447,
448,
449,55 
450,
451,
452,
453,397 
454,
455,
456,
457,320 
458,
459,
460,
461,376 
462,
463,461 
464,
465,
466,
467,
468,
469,
470,467 
471,149 
472,
473,
474,338 
475,
476,
477,
478,
479,
480,
481,
482,230 194 
483,
484,
485,
486,
487,
488,
489,
490,317 
491,
492,
493,
494,
495,
496,
497,
498,127 277 385 
499,

