Francisco Ventura estudiante MCC 
modelo de Erdos Renyi
Nota:El nodo es la primera columna y despues de las coma son las aristas

0,
1,20 7 
2,
3,12 
4,
5,16 
6,17 12 
7,21 
8,23 25 13 26 
9,5 
10,
11,
12,4 24 
13,29 
14,8 12 
15,26 
16,27 
17,
18,24 
19,27 
20,
21,
22,19 25 
23,29 8 0 
24,21 
25,9 
26,2 
27,0 1 
28,
29,

Francisco Ventura estudiante MCC 
modelo de Erdos Renyi
0,1 10 
1,42 
2,29 
3,1 27 
4,
5,86 
6,27 31 
7,
8,49 
9,91 
10,68 
11,
12,
13,80 
14,93 
15,72 90 
16,86 
17,15 82 
18,25 
19,87 51 
20,65 49 
21,
22,68 
23,17 57 94 
24,92 
25,45 77 
26,
27,36 
28,18 
29,85 
30,
31,
32,
33,
34,68 
35,76 
36,41 
37,91 
38,
39,47 
40,33 
41,89 
42,26 55 
43,
44,42 83 
45,83 0 
46,53 
47,98 74 
48,
49,41 
50,22 
51,
52,74 41 3 
53,9 88 
54,
55,86 
56,82 37 
57,57 94 
58,21 4 
59,55 
60,96 
61,
62,93 
63,
64,62 28 20 
65,
66,
67,92 
68,59 
69,
70,60 
71,
72,
73,8 99 5 12 
74,
75,35 21 1 
76,
77,6 
78,50 
79,43 1 
80,11 
81,74 
82,
83,1 
84,14 43 
85,
86,27 
87,
88,26 81 
89,27 97 
90,30 28 54 
91,
92,
93,52 
94,13 
95,57 
96,
97,
98,57 
99,

Francisco Ventura estudiante MCC 
modelo de Erdos Renyi
0,
1,36 237 
2,
3,456 
4,279 
5,186 392 
6,122 243 
7,
8,
9,
10,101 
11,189 
12,201 73 
13,1 201 32 
14,
15,
16,
17,459 182 131 
18,450 
19,
20,98 362 
21,275 152 
22,4 
23,294 82 
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,99 279 
34,
35,
36,24 355 
37,
38,79 
39,
40,31 
41,103 
42,
43,146 44 290 72 
44,
45,
46,282 
47,74 324 
48,
49,151 
50,86 
51,475 72 
52,381 
53,
54,321 436 
55,
56,416 120 485 
57,212 
58,
59,403 
60,
61,
62,338 159 
63,251 
64,
65,
66,340 146 
67,204 8 
68,156 
69,
70,
71,417 
72,121 65 
73,361 
74,450 65 
75,
76,492 176 
77,
78,442 
79,395 
80,79 
81,425 
82,
83,105 229 
84,408 
85,18 106 
86,21 23 
87,
88,67 128 
89,
90,155 
91,365 99 322 
92,
93,368 
94,341 72 
95,32 
96,47 144 261 
97,
98,
99,329 
100,400 81 
101,420 78 
102,45 
103,
104,257 
105,160 210 
106,148 
107,323 
108,369 
109,
110,51 
111,191 
112,
113,
114,444 
115,
116,
117,
118,416 245 3 
119,
120,3 
121,
122,
123,420 
124,
125,92 370 
126,
127,110 495 
128,39 439 202 197 
129,
130,107 152 
131,324 
132,
133,404 
134,123 290 
135,280 
136,222 
137,339 
138,
139,328 57 
140,
141,105 
142,419 
143,332 
144,
145,
146,
147,373 423 
148,423 
149,450 204 
150,364 
151,
152,398 
153,
154,380 
155,
156,163 
157,335 348 
158,17 252 344 
159,246 282 
160,
161,415 386 365 
162,
163,
164,27 375 
165,
166,16 
167,424 
168,292 
169,57 
170,
171,366 59 496 
172,328 326 
173,290 
174,153 
175,381 
176,
177,227 
178,
179,376 
180,345 486 
181,
182,164 
183,71 
184,437 434 
185,478 
186,328 71 
187,417 14 
188,
189,
190,
191,
192,
193,486 
194,52 
195,199 
196,428 
197,372 260 
198,475 
199,
200,64 281 56 
201,
202,
203,443 
204,490 69 
205,237 
206,420 238 
207,291 
208,34 449 146 
209,228 
210,10 
211,20 388 
212,
213,
214,166 149 
215,
216,227 175 
217,
218,289 476 
219,52 
220,226 480 
221,34 
222,71 375 
223,121 165 
224,424 288 170 
225,440 
226,303 
227,347 
228,341 
229,311 
230,86 
231,433 384 
232,
233,454 
234,255 
235,158 494 
236,
237,289 
238,164 
239,185 196 490 
240,110 350 
241,111 157 218 237 
242,137 57 407 
243,
244,37 454 
245,208 282 373 
246,
247,60 139 
248,
249,
250,417 248 389 
251,384 
252,233 269 
253,424 
254,
255,
256,371 42 
257,283 
258,
259,
260,275 
261,
262,220 201 
263,
264,128 
265,
266,456 
267,428 
268,217 
269,
270,
271,
272,25 
273,
274,
275,415 
276,
277,61 
278,412 
279,219 
280,
281,
282,
283,
284,161 430 180 452 
285,12 349 
286,242 458 418 
287,179 84 
288,
289,90 421 326 
290,415 
291,417 
292,8 263 
293,159 
294,195 
295,22 
296,
297,
298,498 
299,
300,
301,
302,
303,
304,331 
305,133 
306,
307,424 
308,
309,350 
310,395 
311,49 
312,17 
313,5 460 
314,
315,
316,
317,
318,
319,
320,
321,
322,153 
323,344 129 
324,
325,143 
326,19 
327,333 81 
328,330 13 
329,363 
330,485 
331,81 
332,350 306 
333,
334,7 
335,
336,363 
337,
338,121 
339,349 251 83 
340,
341,385 
342,56 
343,420 
344,311 
345,
346,
347,
348,
349,
350,413 155 116 
351,
352,170 
353,
354,16 
355,245 361 288 
356,
357,188 375 
358,378 
359,385 256 
360,
361,43 158 240 349 
362,
363,292 182 
364,
365,461 
366,112 203 
367,
368,475 
369,198 393 
370,365 
371,94 458 
372,
373,
374,
375,231 422 
376,114 
377,123 474 
378,51 298 380 492 
379,486 
380,137 
381,217 
382,33 
383,254 
384,71 371 103 
385,
386,433 260 74 
387,425 
388,284 432 417 
389,
390,
391,
392,261 318 
393,
394,270 88 195 
395,411 142 
396,384 
397,
398,236 
399,
400,166 
401,492 
402,
403,
404,387 188 363 
405,
406,
407,442 
408,
409,327 447 16 
410,
411,489 30 
412,
413,
414,359 441 
415,
416,295 
417,137 
418,
419,36 
420,470 416 
421,323 380 
422,
423,129 
424,
425,
426,457 
427,274 
428,
429,228 
430,384 18 
431,166 
432,187 23 332 
433,415 56 
434,
435,
436,473 158 
437,365 
438,384 310 
439,387 
440,307 119 
441,312 
442,333 
443,150 16 
444,89 
445,156 
446,
447,381 
448,274 
449,377 428 
450,
451,
452,444 
453,
454,
455,
456,
457,202 386 
458,
459,376 204 93 
460,93 
461,100 256 
462,171 
463,426 24 
464,440 
465,388 32 
466,
467,
468,
469,324 
470,30 364 
471,78 
472,82 
473,417 
474,
475,127 249 179 
476,353 377 
477,366 
478,
479,
480,351 194 
481,
482,228 54 
483,9 499 133 
484,297 
485,126 
486,468 216 
487,
488,199 348 55 154 382 
489,343 
490,416 94 
491,
492,146 295 
493,
494,331 5 4 49 339 
495,308 
496,411 
497,171 261 
498,182 
